ANIO,region,provincia,distrito,CCDD,CCPP,CCDI,CONGLOMERADO,NSELUA,UA,costo_semilla,costo_abono,costo_fertilizantes,costo_plaguicidas,factor_cost,produccion_kg,venta_kg,area_cosechada_ha,area_sembrada_ha,plantas_cosechadas,venta_valor_soles,precio_chacra_kg,factor_prod,P204_TIPO,P205_TOT,P206_INI_MES,P206_INI_ANIO,P207_FIN_MES,P207_FIN_ANIO,P208,P211_1,P211_2,P211_3,P211_4,P211_5,P211_8,P212,P213,P214,P215,P221_1,P221_2,P222_1,P222_2,P222_3,P222_4,P222_5,P222_6,P222_7,P219_UM,costo_total,costo_por_kg,FACTOR_PRODUCTOR,rendimiento_kg_ha,densidad_plantas_ha,porcentaje_vendido,costo_abono_kg,costo_fertilizantes_kg,costo_plaguicidas_kg,participacion_fertilizantes,participacion_plaguicidas,duracion_cosecha_meses,es_outlier,P209_MES,P209_ANIO,P223_1,P223_2,P223_3,P223_4,P223_5,P223_6,P223A,P223B_1,P223B_2,P223B_3,P223B_4,P223B_5,P223B_6,P223B_7,P223B_8,NSEGM,ID_PROD
2021,ANCASH,HUARAZ,PAMPAS,02,01,09,08883,00057,9,0.0,150.0,500.0,500.0,141.126748251748,2500.0,2450.0,0.5,0.0,500,8575.0,3.5,141.126748251748,2,1,2,2021,3,2021,1,1,1,0,0,0,0,2,7,,,1,0,0,1,0,0,0,0,0,KILOGRAMO,1150.0,0.46,141.126748251748,5000.0,1000.0,0.98,0.06,0.2,0.2,0.43478260869565216,0.43478260869565216,2,0,,,,,,,,,,,,,,,,,,,
2021,ANCASH,HUARAZ,PARIACOTO,02,01,10,08735,00026,2,0.0,150.0,400.0,400.0,152.887310606061,4400.0,4290.0,0.55,0.0,125,20660.0,4.5,152.887310606061,2,1,1,2021,2,2021,1,1,1,0,1,0,0,3,7,,,1,0,0,0,1,0,0,0,0,JABAS,950.0,0.2159090909090909,152.887310606061,7999.999999999999,227.27272727272725,0.975,0.03409090909090909,0.09090909090909091,0.09090909090909091,0.42105263157894735,0.42105263157894735,2,0,,,,,,,,,,,,,,,,,,,
2021,ANCASH,HUARAZ,PARIACOTO,02,01,10,08735,00035,3,0.0,100.0,320.0,400.0,152.887310606061,3800.0,3600.0,0.7,0.0,60,9000.0,2.5,152.887310606061,2,1,1,2021,3,2021,1,1,1,0,0,0,0,2,7,,,1,0,0,0,1,0,0,0,0,KILOGRAMO,820.0,0.21578947368421053,152.887310606061,5428.571428571429,85.71428571428572,0.9473684210526315,0.02631578947368421,0.08421052631578947,0.10526315789473684,0.3902439024390244,0.4878048780487805,3,0,,,,,,,,,,,,,,,,,,,
2021,ANCASH,HUARAZ,PARIACOTO,02,01,10,08735,00047,4,0.0,0.0,750.0,700.0,152.887310606061,7700.0,4200.0,0.8999999999999999,0.0,350,10500.0,2.5,152.887310606061,2,1,2,2021,3,2021,1,1,1,0,1,0,0,2,7,,,1,0,0,0,1,0,0,0,0,KILOGRAMO,1450.0,0.18831168831168832,152.887310606061,8555.555555555557,388.8888888888889,0.5454545454545454,0.0,0.09740259740259741,0.09090909090909091,0.5172413793103449,0.4827586206896552,2,0,,,,,,,,,,,,,,,,,,,
2021,ANCASH,HUARAZ,PARIACOTO,02,01,10,08735,00051,5,0.0,25.0,200.0,250.0,152.887310606061,2400.0,2280.0,0.25,0.0,40,6840.0,3.0,152.887310606061,2,1,1,2021,2,2021,1,1,1,0,1,0,0,2,7,,,1,0,0,0,1,0,0,0,0,CAJAS,475.0,0.19791666666666666,152.887310606061,9600.0,160.0,0.95,0.010416666666666666,0.08333333333333333,0.10416666666666667,0.42105263157894735,0.5263157894736842,2,0,,,,,,,,,,,,,,,,,,,
2021,ANCASH,HUARAZ,PARIACOTO,02,01,10,08735,00052,6,0.0,0.0,75.0,50.0,152.887310606061,1180.0,606.0,0.095,0.0,75,1818.0,3.0,152.887310606061,2,1,1,2021,2,2021,1,1,1,0,0,1,0,2,7,,,1,0,0,0,1,0,0,0,0,JABAS,125.0,0.1059322033898305,152.887310606061,12421.052631578947,789.4736842105264,0.5135593220338983,0.0,0.0635593220338983,0.0423728813559322,0.6,0.4,2,0,,,,,,,,,,,,,,,,,,,
2021,ANCASH,HUARAZ,PARIACOTO,02,01,10,08735,00094,10,0.0,0.0,420.0,400.0,152.887310606061,8750.0,8500.0,1.0,0.0,80,34000.0,4.0,152.887310606061,2,1,1,2021,2,2021,1,1,1,0,1,0,0,2,7,,,1,0,0,0,1,0,0,0,0,JABAS,820.0,0.09371428571428571,152.887310606061,8750.0,80.0,0.9714285714285714,0.0,0.048,0.045714285714285714,0.5121951219512195,0.4878048780487805,2,0,,,,,,,,,,,,,,,,,,,
2021,ANCASH,HUARAZ,PARIACOTO,02,01,10,08735,00124,11,0.0,16.0,24.0,15.0,152.887310606061,320.0,240.0,0.025,0.0,33,840.0,3.5,152.887310606061,2,1,11,2020,1,2021,1,1,1,0,1,0,0,2,7,,,1,0,0,0,1,0,0,0,0,JABAS,55.0,0.171875,152.887310606061,12800.0,1320.0,0.75,0.05,0.075,0.046875,0.43636363636363634,0.2727272727272727,3,0,,,,,,,,,,,,,,,,,,,
2021,ANCASH,HUARAZ,PARIACOTO,02,01,10,08735,00128,12,0.0,0.0,400.0,300.0,152.887310606061,4000.0,3920.0,0.5,0.0,90,11760.0,3.0,152.887310606061,2,1,11,2020,2,2021,1,1,1,0,0,0,0,2,7,,,1,0,0,0,1,0,0,0,0,KILOGRAMO,700.0,0.175,152.887310606061,8000.0,180.0,0.98,0.0,0.1,0.075,0.5714285714285714,0.42857142857142855,4,0,,,,,,,,,,,,,,,,,,,
2021,ANCASH,HUARAZ,PARIACOTO,02,01,10,08735,00141,13,0.0,0.0,300.0,400.0,152.887310606061,8000.0,7700.0,0.75,0.0,300,23100.0,3.0,152.887310606061,2,1,11,2020,2,2021,1,1,1,1,0,0,0,4,7,,,1,0,0,0,1,0,0,0,0,KILOGRAMO,700.0,0.0875,152.887310606061,10666.666666666666,400.0,0.9625,0.0,0.0375,0.05,0.42857142857142855,0.5714285714285714,4,0,,,,,,,,,,,,,,,,,,,
2021,ANCASH,HUARAZ,PARIACOTO,02,01,10,08735,00149,14,0.0,150.0,132.0,145.0,152.887310606061,2700.0,2100.0,0.25,0.0,150,5600.0,2.6667,152.887310606061,2,1,8,2020,9,2020,1,1,1,1,0,0,0,2,7,,,1,0,0,0,1,0,0,0,0,CAJAS,427.0,0.15814814814814815,152.887310606061,10800.0,600.0,0.7777777777777778,0.05555555555555555,0.04888888888888889,0.053703703703703705,0.3091334894613583,0.3395784543325527,2,0,,,,,,,,,,,,,,,,,,,
2021,ANCASH,HUARAZ,PIRA,02,01,11,08873,00089,3,0.0,50.0,0.0,100.0,131.046266233766,400.0,400.0,0.25,0.0,100,1600.0,4.0,131.046266233766,2,1,5,2021,5,2021,3,0,1,0,0,0,0,2,7,,,1,0,1,0,0,0,0,0,0,JABAS,150.0,0.375,131.046266233766,1600.0,400.0,1.0,0.125,0.0,0.25,0.0,0.6666666666666666,1,0,,,,,,,,,,,,,,,,,,,
