fecha,precio_fob_usd_kg,region,provincia,rendimiento_kg_ha,porcentaje_vendido,tipo_conduccion_cultivo,margen_exportador_soles_kg
2023-07-01,1.482684824796564,JUNIN,HUANCAYO,10200.0,0.7058823529411765,Homogeneo,4.618695543967507
2023-09-01,1.3942642183502625,JUNIN,JAUJA,11240.0,0.9039145907473309,Homogeneo,4.619949893546581
2023-04-01,1.6730530153273977,LA LIBERTAD,ASCOPE,1250.0,1.0,Homogeneo,0.2839988074777411
2023-04-01,1.6730530153273977,LA LIBERTAD,VIRU,10000.0,1.0,Homogeneo,2.615615474144408
2023-05-01,1.3097205876184328,LA LIBERTAD,VIRU,4800.0,0.7916666666666666,Homogeneo,3.45311887023579
2023-07-01,1.482684824796564,LA LIBERTAD,VIRU,6000.0,0.9933333333333333,Homogeneo,4.386734759653782
2023-04-01,1.6730530153273977,LA LIBERTAD,VIRU,5555.555555555556,1.0,Homogeneo,5.233948807477741
2023-04-01,1.6730530153273977,LA LIBERTAD,VIRU,6000.0,0.7407407407407407,Homogeneo,5.514689548218482
2023-06-01,1.4269870938975657,LA LIBERTAD,VIRU,13000.0,1.0,Homogeneo,4.7358169867312565
2023-06-01,1.4269870938975657,LA LIBERTAD,VIRU,14000.0,1.0,Homogeneo,4.936915887830157
2023-05-01,1.3097205876184328,LA LIBERTAD,VIRU,2881.844380403458,1.0,Homogeneo,3.455252203569123
2023-05-01,1.3097205876184328,LA LIBERTAD,VIRU,4812.15027977618,0.9966777408637874,Homogeneo,4.340023632140552
2023-05-01,1.3097205876184328,LAMBAYEQUE,LAMBAYEQUE,10000.0,0.925,Homogeneo,4.511452203569123
2023-06-01,1.4269870938975657,LIMA,BARRANCA,4566.2100456621,1.0,Homogeneo,3.9212016021158718
2023-07-01,1.482684824796564,LIMA,BARRANCA,10000.0,1.0,Homogeneo,4.435068092987115
2023-05-01,1.3097205876184328,LIMA,BARRANCA,11555.555555555555,1.0,Homogeneo,4.697990665107585
2023-06-01,1.4269870938975657,LIMA,HUARAL,4755.03099261272,1.0,Homogeneo,4.754826602115871
2023-06-01,1.4269870938975657,LIMA,HUARAL,5434.782608695653,1.0,Homogeneo,4.8912016021158715
2023-07-01,1.482684824796564,LIMA,HUAURA,2400.0,0.9583333333333334,Homogeneo,3.3934014263204486
2023-05-01,1.3097205876184328,LIMA,HUAURA,10000.0,1.0,Homogeneo,4.403759895876815
2023-07-01,1.482684824796564,LIMA,HUAURA,15789.473684210527,0.9996666666666667,Homogeneo,5.324234759653782
2023-07-01,1.482684824796564,MOQUEGUA,MARISCAL NIETO,1200.0,0.9777777777777777,Asociado,2.712845870764893
2023-07-01,1.482684824796564,MOQUEGUA,MARISCAL NIETO,2084.6153846153848,0.996309963099631,Homogeneo,1.8700311926181112
2023-05-01,1.3097205876184328,MOQUEGUA,MARISCAL NIETO,2178.0,0.9586776859504132,Homogeneo,4.153876445993365
2023-08-01,1.5597315981372513,MOQUEGUA,MARISCAL NIETO,5307.096774193548,0.973741794310722,Homogeneo,5.411356731526728
2023-08-01,1.5597315981372513,MOQUEGUA,MARISCAL NIETO,3963.3027522935777,0.9166666666666666,Homogeneo,4.99714164116284
2023-03-01,1.901566289163099,MOQUEGUA,MARISCAL NIETO,3939.393939393939,0.9615384615384616,Homogeneo,6.323181276669314
2023-12-01,2.1700770230141053,MOQUEGUA,MARISCAL NIETO,2773.645058448459,0.6896551724137931,Homogeneo,7.164608759674543
2023-03-01,1.901566289163099,MOQUEGUA,MARISCAL NIETO,5828.571428571429,0.9803921568627451,Homogeneo,6.7975402510282885
2023-09-01,1.3942642183502625,MOQUEGUA,MARISCAL NIETO,4235.294117647059,0.7722222222222223,Homogeneo,3.7007130410357068
2023-12-01,2.1700770230141053,MOQUEGUA,MARISCAL NIETO,4160.0,0.9230769230769231,Homogeneo,7.272404220918281
2023-04-01,1.6730530153273977,MOQUEGUA,MARISCAL NIETO,4526.315789473684,0.9534883720930233,Homogeneo,5.750692993524253
2023-08-01,1.5597315981372513,MOQUEGUA,MARISCAL NIETO,2208.333333333333,0.9433962264150944,Homogeneo,3.937043807480101
2023-08-01,1.5597315981372513,MOQUEGUA,MARISCAL NIETO,4147.783251231526,0.665083135391924,Disperso,5.172033873062198
2024-07-01,1.9965849428115887,ANCASH,HUARAZ,3200.0,0.4375,Homogeneo,7.087193535543458
2024-11-01,2.3398989898989897,ANCASH,HUARAZ,4464.285714285714,0.68,Homogeneo,8.174621212121211
2024-11-01,2.3398989898989897,ANCASH,HUARAZ,5314.285714285715,0.8064516129032258,Homogeneo,8.231610459433039
2024-11-01,2.3398989898989897,ANCASH,HUARAZ,3200.0,1.0,Homogeneo,7.932954545454544
2024-11-01,2.3398989898989897,ANCASH,HUARAZ,5077.826725403817,0.9895893580104106,Disperso,8.254089112641743
2024-10-01,2.3437083333333333,ANCASH,HUARAZ,1200.0,1.0,Homogeneo,7.055572916666667
2024-12-01,2.2456676136363636,ANCASH,ANTONIO RAYMONDI,8955.223880597016,0.9958333333333333,Homogeneo,7.964586884469696
2024-02-01,1.8263987009158644,ANCASH,BOLOGNESI,12000.0,0.9966666666666667,Homogeneo,6.602328461767825
2024-02-01,1.8263987009158644,ANCASH,BOLOGNESI,11339.421613394215,0.9986577181208054,Homogeneo,6.832887745884157
2024-02-01,1.8263987009158644,ANCASH,BOLOGNESI,12000.0,0.9966666666666667,Homogeneo,6.6156617951011585
2024-05-01,1.7771443824580146,ANCASH,BOLOGNESI,8333.333333333334,0.984,Homogeneo,6.092291434217555
2024-03-01,2.075976331189748,ANCASH,BOLOGNESI,12000.0,0.9958333333333333,Homogeneo,7.480744575294889
2024-06-01,1.9899608293594109,ANCASH,BOLOGNESI,9428.571428571428,0.9666666666666667,Homogeneo,6.93205007979476
2024-08-01,2.1441309948588154,ANCASH,CARHUAZ,1621.6216216216217,0.7966666666666666,Homogeneo,7.343824564053892
2024-08-01,2.1441309948588154,ANCASH,CARHUAZ,8644.067796610168,0.9803921568627451,Homogeneo,7.883628485622519
2024-03-01,2.075976331189748,ANCASH,CASMA,8000.0,0.225,Homogeneo,7.322411241961555
2024-02-01,1.8263987009158644,ANCASH,CASMA,18947.36842105263,0.495,Asociado,6.557328461767825
2024-11-01,2.3398989898989897,ANCASH,HUARI,3750.0,0.9166666666666666,Homogeneo,5.8412878787878775
2024-01-01,2.170147441895754,ANCASH,HUARI,9902.200488997556,0.9876543209876543,Homogeneo,7.636818339207843
2024-03-01,2.075976331189748,ANCASH,HUAYLAS,4800.0,0.9979166666666667,Homogeneo,6.493244575294888
2024-06-01,1.9899608293594109,ANCASH,OCROS,13043.478260869564,1.0,Homogeneo,6.879019776764458
2024-07-01,1.9965849428115887,ANCASH,OCROS,5000.0,0.75,Homogeneo,6.778860202210125
2024-04-01,1.740156197098132,ANCASH,PALLASCA,9917.842323651452,0.9103840682788051,Homogeneo,6.451951733595445
2024-04-01,1.740156197098132,ANCASH,PALLASCA,7351.764705882353,0.9433509361497839,Homogeneo,6.205534530924685
2024-05-01,1.7771443824580146,ANCASH,SANTA,13449.899125756556,0.2,Homogeneo,6.386291434217554
2024-03-01,2.075976331189748,ANCASH,SANTA,10006.25,0.24984384759525297,Homogeneo,7.186660148894722
2024-04-01,1.740156197098132,ANCASH,SANTA,1785.7142857142856,1.0,Homogeneo,5.350585739117996
2024-05-01,1.7771443824580146,ANCASH,SANTA,3240.7407407407404,0.14285714285714285,Homogeneo,6.378577148503269
2024-03-01,2.075976331189748,ANCASH,SANTA,2375.0,0.868421052631579,Homogeneo,7.119648084066818
2024-05-01,1.7771443824580146,ANCASH,SANTA,7424.553179021389,0.9826361483820047,Homogeneo,6.3410870143280516
2024-04-01,1.740156197098132,ANCASH,SANTA,5774.647887323944,0.975609756097561,Homogeneo,6.037780861069216
2024-05-01,1.7771443824580146,ANCASH,SANTA,4600.0,1.0,Homogeneo,5.396030564652337
2024-04-01,1.740156197098132,ANCASH,SANTA,8625.0,0.9420289855072463,Homogeneo,5.025585739117996
2024-05-01,1.7771443824580146,ANCASH,SANTA,9126.984126984127,0.8768115942028986,Homogeneo,5.805972593637844
2024-02-01,1.8263987009158644,ANCASH,SANTA,4347.5935828877,0.9692496924969249,Homogeneo,5.889585534338551
2024-12-01,2.2456676136363636,ANCASH,SANTA,7200.0,0.9741602067183462,Homogeneo,7.9690571687074225
2024-02-01,1.8263987009158644,ANCASH,SANTA,2857.1428571428573,0.9333333333333333,Homogeneo,5.998995128434492
2024-02-01,1.8263987009158644,ANCASH,SANTA,3150.0,0.9523809523809523,Homogeneo,5.856931636371
2024-02-01,1.8263987009158644,ANCASH,SANTA,7300.0,0.958904109589041,Asociado,6.5407759503523
2024-11-01,2.3398989898989897,ANCASH,SANTA,2345.0,0.9381663113006397,Homogeneo,8.45052739549008
2024-02-01,1.8263987009158644,ANCASH,SANTA,5640.0,0.40425531914893614,Homogeneo,6.024881653257187
2024-03-01,2.075976331189748,ANCASH,SANTA,10550.0,0.9478672985781991,Homogeneo,7.216190862814636
2024-05-01,1.7771443824580146,ANCASH,SANTA,10000.0,1.0,Homogeneo,6.264291434217554
2024-03-01,2.075976331189748,ANCASH,SANTA,6190.798376184032,1.0,Asociado,7.238463154529861
2024-04-01,1.740156197098132,ANCASH,SANTA,8000.000000000001,1.0,Asociado,5.900585739117996
2024-03-01,2.075976331189748,ANCASH,SANTA,5175.03805175038,1.0,Homogeneo,6.902558300785085
2024-06-01,1.9899608293594109,ANCASH,SANTA,8817.204301075268,0.975609756097561,Asociado,6.852597012536815
2024-06-01,1.9899608293594109,ANCASH,SANTA,16590.673575129535,0.9993753903810119,Homogeneo,7.075875908348884
2024-06-01,1.9899608293594109,ANCASH,SANTA,7500.0,1.0,Asociado,6.212353110097791
2024-05-01,1.7771443824580146,ANCASH,SANTA,12007.50469043152,0.375,Asociado,6.289291434217555
2024-02-01,1.8263987009158644,APURIMAC,ABANCAY,13850.415512465375,0.92,Homogeneo,6.808995128434492
2024-02-01,1.8263987009158644,APURIMAC,ABANCAY,4950.495049504951,0.9333333333333333,Homogeneo,6.315661795101159
2024-04-01,1.740156197098132,APURIMAC,ABANCAY,4077.471967380224,0.9875,Homogeneo,5.813085739117995
2024-12-01,2.2456676136363636,APURIMAC,ANDAHUAYLAS,2222.222222222222,0.875,Homogeneo,6.296253551136363
2024-04-01,1.740156197098132,APURIMAC,AYMARAES,4666.666666666667,0.42857142857142855,Asociado,5.847014310546567
2024-03-01,2.075976331189748,APURIMAC,CHINCHEROS,1231.3432835820895,0.5833333333333334,Homogeneo,6.515971848022161
2024-09-01,1.8622038077700518,APURIMAC,CHINCHEROS,2857.1428571428573,0.8,Homogeneo,5.030764279137695
2024-03-01,2.075976331189748,APURIMAC,CHINCHEROS,5173.333333333333,0.979381443298969,Homogeneo,6.444705056394545
2024-05-01,1.7771443824580146,APURIMAC,CHINCHEROS,28800.0,0.9444444444444444,Homogeneo,6.013735878661999
2024-04-01,1.740156197098132,APURIMAC,CHINCHEROS,12000.0,0.9333333333333333,Homogeneo,5.908919072451329
2024-04-01,1.740156197098132,AREQUIPA,AREQUIPA,15142.857142857143,0.9622641509433962,Homogeneo,5.9920008334576185
2024-05-01,1.7771443824580146,AREQUIPA,AREQUIPA,7000.0,1.0,Homogeneo,5.214291434217555
2024-04-01,1.740156197098132,AREQUIPA,AREQUIPA,5312.5,0.9411764705882353,Asociado,5.419703386176819
